id_country,Year,Score
103,2018,6.987
103,2019,6.766
103,2020,6.25
104,2010,0
104,2011,0
104,2012,0
104,2013,0
104,2014,0
104,2015,0
104,2016,0
104,2017,0
104,2018,0
104,2019,0.458
104,2020,0.229
107,2010,2.046
107,2011,1.372
107,2012,0.624
107,2013,2.109
107,2014,1.45
107,2015,2.252
107,2016,1.86
107,2017,1.186
107,2018,0.649
107,2019,0.301
107,2020,0.105
108,2010,1.198
108,2011,0.551
108,2012,0.435
108,2013,1.049
108,2014,1.26
108,2015,2.444
108,2016,1.671
108,2017,3.287
108,2018,2.613
108,2019,1.957
108,2020,1.19
109,2010,0
109,2011,0
109,2012,0
109,2013,0
109,2014,0
109,2015,0
109,2016,0
109,2017,0
109,2018,0.458
109,2019,0.663
109,2020,1.635
110,2010,0.775
110,2011,0.344
110,2012,0.415
110,2013,1.798
110,2014,3.04
110,2015,3.579
110,2016,2.691
110,2017,3.334
110,2018,2.7
110,2019,2.495
110,2020,2.09
112,2010,4.116
112,2011,3.522
112,2012,3.389
112,2013,4.592
112,2014,5.29
112,2015,5.871
112,2016,6.03
112,2017,5.88
112,2018,6.015
112,2019,6.653
112,2020,7.049
115,2010,2.227
115,2011,1.852
115,2012,2.181
115,2013,1.19
115,2014,0.56
115,2015,0.305
115,2016,0.067
115,2017,0
115,2018,0
115,2019,0
115,2020,0
116,2010,0
116,2011,0
116,2012,0
116,2013,0
116,2014,0
116,2015,0
116,2016,0
116,2017,0
116,2018,0
116,2019,0
116,2020,0
117,2010,2.558
117,2011,2.354
117,2012,2.008
117,2013,3.353
117,2014,4.66
117,2015,3.985
117,2016,3.723
117,2017,3.292
117,2018,3.533
117,2019,4.08
117,2020,4.316
118,2010,2.297
118,2011,1.635
118,2012,0.992
118,2013,0.565
118,2014,0.28
118,2015,0.038
118,2016,0.019
118,2017,0.47
118,2018,0.229
118,2019,0.115
118,2020,0.057
119,2010,0.038
119,2011,0.019
119,2012,0
119,2013,0
119,2014,0.7
119,2015,0.659
119,2016,0.154
119,2017,0.077
119,2018,0.038
119,2019,0.999
119,2020,0.42
120,2010,2.017
120,2011,1.331
120,2012,3.599
120,2013,2.656
120,2014,2.11
120,2015,1.446
120,2016,0.892
120,2017,0.077
120,2018,0.038
120,2019,1.215
120,2020,0.565
121,2010,0.915
121,2011,0.391
121,2012,0.203
121,2013,1.066
121,2014,4.01
121,2015,4.386
121,2016,3.536
121,2017,4.882
121,2018,4.579
121,2019,5.542
121,2020,6.4
122,2010,4.58
122,2011,4.501
122,2012,4.088
122,2013,4.022
122,2014,4.24
122,2015,4.08
122,2016,4.167
122,2017,4.956
122,2018,5.916
122,2019,5.512
122,2020,5.543
123,2010,0
123,2011,0
123,2012,0
123,2013,0
123,2014,0
123,2015,0
123,2016,0
123,2017,0
123,2018,0
123,2019,0
123,2020,0
124,2010,5.414
124,2011,5.043
124,2012,5.017
124,2013,4.672
124,2014,5.23
124,2015,4.791
124,2016,4.415
124,2017,4.387
124,2018,5.295
124,2019,5.093
124,2020,5.34
125,2010,2.642
125,2011,2.052
125,2012,2.037
125,2013,1.223
125,2014,0.58
125,2015,0.429
125,2016,0.864
125,2017,2.412
125,2018,1.96
125,2019,2.347
125,2020,2.689
128,2010,0.382
128,2011,0.191
128,2012,0.079
128,2013,0.048
128,2014,0
128,2015,1.187
128,2016,0.23
128,2017,0.611
128,2018,0.286
128,2019,0.143
128,2020,4.337
129,2010,0
129,2011,0
129,2012,0
129,2013,0
129,2014,0
129,2015,2.928
129,2016,2.093
129,2017,1.437
129,2018,0.747
129,2019,2.952
