id_attacker_group,attacker_group
872,Commander Gonzalo Southern Group
873,Commander Luciano Varela Antiguerrilla Group
874,Commando 15th October
875,Commando 27 September
876,Commando Adolph Hitler
877,Commando Delta
878,Commando Heinz Neumann
879,Commando Internacionalista Simon Bolivar
880,Commandos
881,Commandos Against Self Destruction of the Universe
882,Commandos for A Popular alternative
883,Commandos for the Defense of Western Civilization
884,Commandos of France
885,Committee for a National Drive for Peace and Democracy
886,Committee for Direct Action Against War
887,Committee for the Defense of Italian Workers in France
888,Committee for the Elimination of Killer Collaborators
889,Committee for the Safeguard of the Islamic Revolution
890,Committee of action against bull fights
891,Committee of Coordination
892,Committee of Solidarity with Arab and Middle East Political Prisoners (CSPPA)
893,Commune 1
894,Communist Anti-Imperialistic Revolutionaries
895,Communist Anti-Nuclear Front
896,Communist Armed Nucleus
897,Communist Attack Brigades
898,Communist Attack Units
899,Communist Brigade Dante Dimani
900,Communist Brigades
901,Communist Combat Unit
902,Communist Combattant Cells (CCC) (Belgium)
903,Communist Fighters Association
904,Communist Fighters Group
